Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
16 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;630,40;1.014,06;1.192,32
16 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;615,77;1.009,86;1.215,84
16 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;621,40;1.024,45;1.230,33
16 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;746,51;1.095,40;1.424,19
16 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;752,14;1.108,95;1.438,68
16 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;624,78;999,48;1.177,83
16 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;630,40;1.014,06;1.192,32
16 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;875,20;1.419,40;1.937,56
16 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;881,71;1.434,58;1.954,51
16 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;1.077,39;1.665,30;2.279,04
16 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;1.083,91;1.680,49;2.295,99
16 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;862,67;1.360,59;1.825,80
16 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;869,18;1.375,77;1.842,76
16 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;875,20;1.419,40;1.937,56
16 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;881,71;1.434,58;1.954,51
16 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;1.077,39;1.665,30;2.279,04
16 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;1.083,91;1.680,49;2.295,99
16 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;862,67;1.360,59;1.825,80
16 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;869,18;1.375,77;1.842,76
16 Páginas;29,7 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;909,12;1.482,32;2.031,94
16 Páginas;29,7 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;915,74;1.497,72;2.049,21
16 Páginas;29,7 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;1.041,20;1.739,82;2.390,83
16 Páginas;29,7 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;1.047,35;1.755,23;2.408,09
16 Páginas;29,7 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;893,77;1.417,08;1.910,54
16 Páginas;29,7 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;900,40;1.432,48;1.927,81
16 Páginas;29,7 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;909,12;1.482,32;2.031,94
16 Páginas;29,7 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;915,74;1.497,72;2.049,21
16 Páginas;29,7 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;1.041,20;1.739,82;2.390,83
16 Páginas;29,7 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;1.047,35;1.755,23;2.408,09
16 Páginas;29,7 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;893,77;1.417,08;1.910,54
16 Páginas;29,7 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;900,40;1.432,48;1.927,81
16 Páginas;21 x 28 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;875,20;1.419,40;1.937,56
16 Páginas;21 x 28 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;881,71;1.434,58;1.954,51
16 Páginas;21 x 28 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;1.077,39;1.665,30;2.279,04
16 Páginas;21 x 28 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;1.083,91;1.680,49;2.295,99
16 Páginas;21 x 28 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;862,67;1.360,59;1.825,80
16 Páginas;21 x 28 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;869,18;1.375,77;1.842,76
16 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;875,20;1.419,40;1.937,56
16 Páginas;21 x 28 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;881,71;1.434,58;1.954,51
